mirbase_id	ensembl_gene_id
hsa-mir-3135b	ENSG00000008513
hsa-mir-3135b	ENSG00000126070
hsa-mir-3135b	ENSG00000119004
hsa-mir-3135b	ENSG00000133030
hsa-mir-3135b	ENSG00000128585
hsa-mir-3135b	ENSG00000137709
hsa-mir-3135b	ENSG00000163909
hsa-mir-3135b	ENSG00000204619
hsa-mir-3135b	ENSG00000109270
hsa-mir-3135b	ENSG00000105197
hsa-mir-3135b	ENSG00000197879
hsa-mir-3135b	ENSG00000204922
hsa-mir-3135b	ENSG00000155256
hsa-mir-3135b	ENSG00000088888
hsa-mir-3137	ENSG00000170180
hsa-mir-3138	ENSG00000169641
hsa-mir-3138	ENSG00000157654
hsa-mir-3138	ENSG00000166135
hsa-mir-3141	ENSG00000178531
hsa-mir-3142	ENSG00000149782
hsa-mir-3142	ENSG00000082153
hsa-mir-3143	ENSG00000179010
hsa-mir-3143	ENSG00000009307
hsa-mir-3147	ENSG00000138668
hsa-mir-3147	ENSG00000233276
hsa-mir-3148	ENSG00000135720
hsa-mir-3148	ENSG00000267041
hsa-mir-3148	ENSG00000198625
hsa-mir-3148	ENSG00000157600
hsa-mir-3148	ENSG00000115310
hsa-mir-3148	ENSG00000172175
hsa-mir-3148	ENSG00000149294
hsa-mir-3148	ENSG00000181588
hsa-mir-3148	ENSG00000026025
hsa-mir-3148	ENSG00000197822
hsa-mir-3148	ENSG00000153317
hsa-mir-3148	ENSG00000090905
hsa-mir-3148	ENSG00000108256
hsa-mir-3148	ENSG00000151553
hsa-mir-3148	ENSG00000145681
hsa-mir-3148	ENSG00000185650
hsa-mir-3148	ENSG00000135655
hsa-mir-3148	ENSG00000198668
hsa-mir-3149	ENSG00000123600
hsa-mir-3149	ENSG00000183715
hsa-mir-3149	ENSG00000137801
hsa-mir-3149	ENSG00000169083
hsa-mir-3153	ENSG00000186660
hsa-mir-3153	ENSG00000149428
hsa-mir-3153	ENSG00000166526
hsa-mir-3153	ENSG00000149212
hsa-mir-3153	ENSG00000125354
hsa-mir-3153	ENSG00000175414
hsa-mir-3153	ENSG00000183723
hsa-mir-3153	ENSG00000158445
hsa-mir-3153	ENSG00000141279
hsa-mir-3153	ENSG00000091542
hsa-mir-3153	ENSG00000143321
hsa-mir-3153	ENSG00000089693
hsa-mir-3153	ENSG00000118058
hsa-mir-3153	ENSG00000070718
hsa-mir-3153	ENSG00000288701
hsa-mir-3153	ENSG00000063245
hsa-mir-3153	ENSG00000146555
hsa-mir-3154	ENSG00000186660
hsa-mir-3154	ENSG00000167371
hsa-mir-3154	ENSG00000167118
hsa-mir-3154	ENSG00000139990
hsa-mir-3154	ENSG00000173262
hsa-mir-3154	ENSG00000198794
hsa-mir-3154	ENSG00000139645
hsa-mir-3154	ENSG00000145907
hsa-mir-3154	ENSG00000166411
hsa-mir-3154	ENSG00000120068
hsa-mir-3154	ENSG00000184545
hsa-mir-3154	ENSG00000183454
hsa-mir-3154	ENSG00000072071
hsa-mir-3154	ENSG00000204569
hsa-mir-3154	ENSG00000157933
hsa-mir-3154	ENSG00000075290
hsa-mir-3154	ENSG00000128585
hsa-mir-3154	ENSG00000055483
hsa-mir-3154	ENSG00000111653
hsa-mir-3155a	ENSG00000163328
hsa-mir-3155a	ENSG00000172113
hsa-mir-3155a	ENSG00000140526
hsa-mir-3155a	ENSG00000152127
hsa-mir-3155b	ENSG00000163781
hsa-mir-3155b	ENSG00000163328
hsa-mir-3155b	ENSG00000172113
hsa-mir-3155b	ENSG00000140526
hsa-mir-3155b	ENSG00000170275
hsa-mir-3159	ENSG00000291237
hsa-mir-3159	ENSG00000172113
hsa-mir-3159	ENSG00000196236
hsa-mir-3159	ENSG00000166575
hsa-mir-3159	ENSG00000162408
hsa-mir-3161	ENSG00000134294
hsa-mir-3161	ENSG00000165244
hsa-mir-3161	ENSG00000112531
hsa-mir-3161	ENSG00000012660
hsa-mir-3161	ENSG00000180329
hsa-mir-3161	ENSG00000133818
hsa-mir-3161	ENSG00000171208
hsa-mir-3163	ENSG00000118263
hsa-mir-3163	ENSG00000153707
hsa-mir-3163	ENSG00000143190
hsa-mir-3163	ENSG00000187772
hsa-mir-3163	ENSG00000100320
hsa-mir-3163	ENSG00000024526
hsa-mir-3163	ENSG00000146247
hsa-mir-3163	ENSG00000025039
hsa-mir-3163	ENSG00000079950
hsa-mir-3163	ENSG00000173041
hsa-mir-3163	ENSG00000099246
hsa-mir-3164	ENSG00000184517
hsa-mir-3165	ENSG00000163590
hsa-mir-3165	ENSG00000121039
hsa-mir-3165	ENSG00000145388
hsa-mir-3165	ENSG00000065911
hsa-mir-3165	ENSG00000128585
hsa-mir-3166	ENSG00000141522
hsa-mir-3166	ENSG00000266472
hsa-mir-3166	ENSG00000164924
hsa-mir-3167	ENSG00000124788
hsa-mir-3169	ENSG00000114999
hsa-mir-3169	ENSG00000172765
hsa-mir-3170	ENSG00000116604
hsa-mir-3170	ENSG00000116985
hsa-mir-3174	ENSG00000146842
hsa-mir-3174	ENSG00000102908
hsa-mir-3174	ENSG00000143155
hsa-mir-3174	ENSG00000169247
hsa-mir-3174	ENSG00000159173
hsa-mir-3175	ENSG00000178951
hsa-mir-3175	ENSG00000105576
hsa-mir-3175	ENSG00000148396
hsa-mir-3175	ENSG00000054965
hsa-mir-3175	ENSG00000173068
hsa-mir-3175	ENSG00000198363
hsa-mir-3175	ENSG00000160877
hsa-mir-3175	ENSG00000181904
hsa-mir-3175	ENSG00000112640
hsa-mir-3175	ENSG00000170144
hsa-mir-3175	ENSG00000141905
hsa-mir-3175	ENSG00000188803
hsa-mir-3175	ENSG00000151067
hsa-mir-3175	ENSG00000182732
hsa-mir-3175	ENSG00000132507
