mirnaid	genesymbol
hsa-miR-1321	ASXL1
hsa-miR-1321	ZFHX3
hsa-miR-1321	PITPNM3
hsa-miR-1321	CLASP1
hsa-miR-1321	CLASP1
hsa-miR-1321	BZW1
hsa-miR-1321	BZW1
hsa-miR-1321	BZW1
hsa-miR-1321	NAV2
hsa-miR-1321	NAV2
hsa-miR-1322	CPT1A
hsa-miR-1322	CPT1A
hsa-miR-1322	PARVA
hsa-miR-1323	ARL6IP1
hsa-miR-1323	CDH1
hsa-miR-1323	MTMR9
hsa-miR-1323	MTMR9
hsa-miR-1323	MTMR9
hsa-miR-1323	MTMR9
hsa-miR-1323	EIF4EBP2
hsa-miR-1323	HMGN2
hsa-miR-1323	ADCYAP1
hsa-miR-1323	ADCYAP1
hsa-miR-1323	PEG10
hsa-miR-1324	CABP5
hsa-miR-1324	CHAC1
hsa-miR-1324	SET
hsa-miR-1324	CHAC1
hsa-miR-133b	PTBP2
hsa-miR-133b	TAGLN2
hsa-miR-133b	IGF1R
hsa-miR-133b	PTBP2
hsa-miR-133b	CNN2
hsa-miR-133b	CNN2
hsa-miR-133b	BCL2L1
hsa-miR-133b	BCL2L1
hsa-miR-133b	BCL2L1
hsa-miR-133b	SP1
hsa-miR-133b	MCL1
hsa-miR-133b	CNN2
hsa-miR-133b	FOSL2
hsa-miR-133b	FOSL2
hsa-miR-133b	POU2F2
hsa-miR-133b	BCL2L1
hsa-miR-133b	PTBP2
hsa-miR-133b	BCL2L1
hsa-miR-133b	FOXL2
hsa-miR-133b	POU2F2
hsa-miR-133b	SP1
hsa-miR-133b	CPNE3
hsa-miR-133b	CNN2
hsa-miR-133b	MMP14
hsa-miR-133b	CCNI
hsa-miR-133b	SUPT16H
hsa-miR-133b	KPNA6
hsa-miR-133b	KPNA6
hsa-miR-133b	BCL2L1
hsa-miR-133b	BCL2L1
hsa-miR-133b	FOXC1
hsa-miR-133b	IGF1R
hsa-miR-133b	BCL2L1
hsa-miR-133b	MCL1
hsa-miR-133b	POU2F2
hsa-miR-133b	POU2F2
hsa-miR-133b	POU2F2
hsa-miR-1470	ST3GAL1
hsa-miR-1470	ST3GAL1
hsa-miR-1470	ST3GAL1
hsa-miR-1470	URM1
hsa-miR-1470	CCDC9B
hsa-miR-147a	PRICKLE1
hsa-miR-147a	CREBRF
hsa-miR-147a	EPHA5
hsa-miR-147a	UNC13A
hsa-miR-147a	VSNL1
hsa-miR-147a	UNC13A
hsa-miR-147a	PRICKLE1
hsa-miR-147a	PRICKLE1
hsa-miR-147a	PRICKLE1
hsa-miR-1538	FHIP1A
hsa-miR-1538	FHIP1A
hsa-miR-1539	SLC7A5
hsa-miR-1587	PHF19
hsa-miR-1587	WARS1
hsa-miR-1587	WARS1
hsa-miR-1587	WARS1
hsa-miR-1587	WARS1
hsa-miR-1825	TNRC6B
hsa-miR-1825	TNRC6B
hsa-miR-1825	TNRC6B
hsa-miR-1825	ZNF468
hsa-miR-1825	CDK9
hsa-miR-1825	ZNF468
hsa-miR-1825	ETS1
hsa-miR-1825	ETS1
hsa-miR-1825	PODXL
hsa-miR-1825	SHOC2
hsa-miR-1825	ETS1
hsa-miR-1825	PODXL
hsa-miR-1825	ETS1
hsa-miR-1825	KLF6
hsa-miR-1825	ETS1
hsa-miR-1827	APOL6
hsa-miR-1827	BMP8A
hsa-miR-1827	PDPN
hsa-miR-1827	KLHL26
hsa-miR-1827	PDPN
hsa-miR-1827	PDPN
hsa-miR-1827	CTSV
hsa-miR-1827	BPNT1
hsa-miR-1827	BPNT1
hsa-miR-1827	F2RL2
hsa-miR-1827	ZNF43
hsa-miR-1827	ZNF43
hsa-miR-1827	ZNF43
hsa-miR-1827	ZNF43
hsa-miR-1827	ZNF43
hsa-miR-1827	QTRT2
hsa-miR-1827	QTRT2
hsa-miR-1827	QTRT2
hsa-miR-1827	PLEKHG5
hsa-miR-1827	PLEKHG5
hsa-miR-1827	ZNF850
hsa-miR-1827	ZNF850
hsa-miR-1827	ATG12
hsa-miR-1827	TPM3
hsa-miR-1827	TPM3
hsa-miR-1827	TPM3
hsa-miR-1827	FAM168A
hsa-miR-1827	FAM168A
hsa-miR-1827	BPNT1
hsa-miR-1827	SLC45A4
hsa-miR-1827	SSR1
hsa-miR-1827	TUBB
hsa-miR-1827	TUBB
hsa-miR-1827	TUBB
hsa-miR-1827	CDK19
hsa-miR-1827	CDK19
hsa-miR-1827	TMEM59
hsa-miR-1827	TMEM59
hsa-miR-1827	CCDC68
hsa-miR-1827	APOL6
hsa-miR-1827	ZNF431
hsa-miR-1827	ZNF431
hsa-miR-1827	FLCN
hsa-miR-1827	ZSCAN29
hsa-miR-1827	NANP
hsa-miR-1827	TPM3
hsa-miR-1827	LIX1L
hsa-miR-1827	IFNLR1
hsa-miR-1827	RDH10
hsa-miR-1827	IFNLR1
hsa-miR-1827	MPV17L
hsa-miR-1827	CCDC125
hsa-miR-1827	TUBB
hsa-miR-1827	APAF1
hsa-miR-1827	APAF1
hsa-miR-1827	APAF1
hsa-miR-1827	MXRA7
hsa-miR-1827	SLC27A1
hsa-miR-1827	ZC3H6
hsa-miR-1827	PLEKHG5
hsa-miR-1827	SPRYD4
hsa-miR-1827	BPNT1
hsa-miR-1827	MAP4
hsa-miR-1827	CDK19
hsa-miR-1827	FAM168A
hsa-miR-1827	TASOR
hsa-miR-1827	AHCYL2
hsa-miR-1827	RSL1D1
hsa-miR-1827	RLIM
hsa-miR-1827	RLIM
hsa-miR-1827	CDKAL1
hsa-miR-1827	SLC35F6
hsa-miR-1827	PLEKHG5
hsa-miR-1827	ZNF490
hsa-miR-1827	NUFIP2
hsa-miR-1827	NUFIP2
hsa-miR-1827	TOR1AIP2
hsa-miR-1827	QTRT2
hsa-miR-1827	EGF
hsa-miR-1827	MAP4
hsa-miR-1827	SH3BP2
hsa-miR-1827	UBE2G1
hsa-miR-1827	ZNF43
hsa-miR-1827	F2RL2
hsa-miR-1827	ATG12
hsa-miR-1827	RAB36
hsa-miR-1827	CRKL
hsa-miR-1827	NCOA4
hsa-miR-1827	TFDP2
hsa-miR-1827	GNAI3
hsa-miR-1827	ARPP19
hsa-miR-1827	FZD4
hsa-miR-1827	ACAP2
hsa-miR-1827	APAF1
hsa-miR-1827	TSPAN31
hsa-miR-1827	MMACHC
hsa-miR-1827	MMACHC
hsa-miR-1827	KLHL26
hsa-miR-1827	MYC
hsa-miR-1827	EGF
hsa-miR-1827	MXRA7
hsa-miR-1827	TPM3
